class|text
classA|"ESMA, in line with the CP, proposes to retain the amendment to the current Table 1 in Annex II of Implementing Regulation (EC) No 1287/2006 for the purpose of establishing the content of pre-trade information that trading venues shall make public depending on the type of trading system operated, extending the requirements to actionable indication of interests (IOIs) which are, according to Article 2(1)(33) of MiFIR, messages between members or participants of a trading venues containing all the necessary information to agree to a trade."
classB|"ESMA also proposes to retain the definition of RFQ systems as presented in the CP with one caveat, publishing quotes will be part of the requirements instead of part of the definition. Additionally, and in order to provide further flexibility and to avoid that members or participants who are providing their quotes to the requester first are put at a disadvantage, the final draft RTS allows for the publication of all submitted quotes in response to a RFQ at the same time, i.e. once all quotes have been provided and the moment they become executable, whereas in the CP ESMA proposed that those systems should disclose all executable bids and offers the moment they are received."
classC|"Under MiFIR, systems operating a trading methodology where orders are matched on the basis of a price derived from another system (the so-called reference price) can operate under a pre-trade transparency waiver provided that certain conditions are met. Firstly, the reference price must be widely published and regarded by market participants as a reliable reference price. Secondly, the set of eligible prices for matching orders within the systems operated by the trading venue is limited to the mid-point within the current bid and offer price or where not available, the opening or the closing price of the relevant session. Finally, the reference price can only be sourced from the trading venue where that financial instrument was first admitted to trading or the most relevant market in terms of liquidity."
classE|"MiFIR empowers ESMA to draft regulatory technical standards specifying the most relevant market in terms of liquidity for the purpose of the reference price waiver. In the CP, ESMA noted that the concept of the most relevant market in terms of liquidity is also relevant in the context of the obligation of investment firms to report transactions under Article 26 MiFIR. However, in the CP, ESMA emphasised the different purposes of the most relevant market in terms of liquidity for transaction reporting and for pre-trade transparency and proposed to adopt two different definitions. In the CP, ESMA proposed that the most relevant market in terms of liquidity for a financial instrument should be the trading venue with the highest level of liquidity for that financial instrument measured by the total value of transactions executed by the trading venue during the relevant calendar year. ESMA also proposed, in order to strike an appropriate compromise between accuracy and operational costs, that the determination of the most relevant market in terms of liquidity would occur on an annual basis."
classE|"With respect to negotiated transactions, MiFIR empowers ESMA to draft RTS specifying (i) the characteristics of a negotiated transaction in relation to the different ways the member or participant of a trading venue can execute such a transaction and (ii) the negotiated transactions that do not contribute to price formation which avail the waiver provided for under Article 4(1)(b)(iii) of MiFIR."
classC|"In the CP, ESMA clarified that negotiated transactions shall be executed under the rules of a trading venue and negotiated privately by members or participants of a trading venue and that negotiated trades shall not be restricted to transactions between members or participants dealing on own account but may involve a client or clients of the member or participants. For that reason, and consistently with the existing framework for negotiated transactions under the Implementing Regulation (EC) No 1287/2006, ESMA proposed that a member or participant of a trading venue can execute such a negotiated transaction by undertaking one of the following tasks:"
classC|dealing on own account with another member or participant who acts for the account of a client;
classC|"dealing with another member or participant, where both are executing orders on own account;"
classC|acting for the account of both the buyer and seller;
classC|"acting for the account of the buyer, where another member or participant acts for the account of the seller; and"
classC|trading for own account against a client order.
classD|"is executed in reference to a price that is calculated over multiple time instances according to a given benchmark, such as volume-weighted average price or time-weighted average price;"
classD|is part of a portfolio trade that involves the execution of 10 or more financial instruments from the same client and at the same time and the components of the trade are meant to be executed only as a single lot;
classD|is a give-up or a give-in;
classD|is contingent on a derivative contract having the same underlying and where all the components of the trade are meant to be executed only as a single lot; or
classD|is contingent on technical characteristics of the transaction which are unrelated to the current market valuation of that financial instrument.
classE|"Most respondents were in favour of the inclusion of non-standard/special settlement trades to the list of transactions that do not contribute to the price formation process. However, after careful consideration, ESMA remains unconvinced that the arguments brought forward during the consultation constitute sufficient legitimate reasons to consider those transactions as not contributing to the price formation process. ESMA is also concerned about the potential risk of circumvention such an inclusion would represent and, hence, has decided not to add those types of transactions to its list."
classF|ESMA proposes to amend the specific characteristics of a negotiated transaction in relation to the different ways a member or participant of a trading venue can execute such transaction in order to include instances when an investment firm is dealing on behalf of a client.
classF|"The order management facility waiver refers to functionalities operated by trading venues where certain orders are exempted from pre-trade transparency pending their disclosure to the market (i.e. subject to being released to an order book prior execution). In absence of more specific requirements under MiFID I, CAs and ESMA have elaborated opinions aimed at ensuring supervisory convergence on the set of functionalities deemed to be compliant with the waiver. In accordance with those opinions, contingent orders such as reserve or iceberg orders and stop orders are currently considered orders held on an order management facility compliant with MiFID I."
classE|MiFIR empowers ESMA to draft RTS specifying the type and minimum size of orders held in an order management facility.
